timestamp,id,nombre_negocio,email,especialidad,codigo_cupon,estado,mensaje
2026-05-25T08:04:43,21,Clinica de Ojos del Tolima,unidaddeojoseco@clinicadeojosdeltolima.com,Oftalmologia,LAPCLICF0B2,enviado,OK
2026-05-25T08:04:52,23,Unidad Materno Infantil del Tolima UMIT,gerencia@umit.com.co,Maternidad Pediatria,LAPUNIBCF05,enviado,OK
2026-05-25T08:05:01,26,UNICAT Unidad de Cirugia del Tolima,citas@unicat.com.co,Cirugia Multiespecialidad,LAPUNI96FA5,enviado,OK
2026-05-25T08:05:10,30,IOM Imagenes Orales Maxilofaciales Ibague,iomrayosx@gmail.com,Radiologia Oral,LAPIOM12E6D,enviado,OK
2026-05-25T08:05:19,31,Vision Center Ibague,visioncenteroptical@hotmail.com,Optometria,LAPVISE8DFE,enviado,OK
2026-05-25T08:05:28,33,Dra Lina Hernandez Dermatologa Ibague,linamhdermato@gmail.com,Dermatologia Estetica,LAPDRAE2C16,enviado,OK
2026-05-25T08:05:37,38,Cirugia Plastica Dr Mario Cruz,info@mariocruzcirujanoplastico.com,Cirugia Plastica,LAPCIR82176,enviado,OK
2026-05-25T08:05:46,41,Unidad Endogastro del Tolima Dr Ayala,info@unidadendogastro.com,Gastroenterologia Endoscopia,LAPUNI84702,enviado,OK
2026-05-25T08:05:55,44,UROTOL Cooperativa Urologos Tolima,urotol@hotmail.com,Urologia,LAPURO7A781,enviado,OK
2026-05-25T08:06:05,48,Sociedad Colombiana Pediatria Tolima,scp_r_tolima@yahoo.com,Pediatria,LAPSOC9479A,enviado,OK
2026-05-25T08:06:14,51,Virrey Solis IPS Ibague Odontologia,servicioalcliente@virreysolisips.com,Odontologia Multiespecialidad,LAPVIR8A1C9,enviado,OK
2026-05-25T08:06:23,52,Orthodent Clinica Dental Ortodoncia Ibague,info@orthodentibague.com,Ortodoncia Odontopediatria,LAPORT90412,enviado,OK
2026-05-25T08:06:32,59,Odontoreir Clinica Dental Ibague,odontoreirsa@gmail.com,Odontologia Ortodoncia,LAPODO1E8B8,enviado,OK
2026-05-25T08:06:42,60,Dentoman Clinica Odontologica Ibague,contacto@dentoman.com,Odontologia Multiespecialidad,LAPDEN6E8CD,enviado,OK
2026-05-25T08:06:51,61,Tu Pediatra IPS Ibague,tupediatraibague@gmail.com,Pediatria,LAPTUPBFC16,enviado,OK
2026-05-25T08:07:00,62,Laboratorio Diagnosticar Ibague,gerenciadiagnosticar@gmail.com,Laboratorio Clinico,LAPLAB417C1,enviado,OK
2026-05-25T08:07:09,63,Laboratorio Clinico Central Ibague,contacto@laboratorioclinicocentral.com.co,Laboratorio Clinico,LAPLAB99BDC,enviado,OK
2026-05-25T08:07:18,64,Dermatologia Estetica Surgimedica,dermatologiaibague@gmail.com,Dermatologia Estetica,LAPDERE52EB,enviado,OK
2026-05-25T08:07:27,65,Oralvant Odontologia Ibague,info@oralvant.com,Ortodoncia Invisible Brackets,LAPORA72C73,enviado,OK
2026-05-25T08:07:36,66,Dra Diana Bravo Ginecologa Fertilidad,dipabraos@hotmail.com,Ginecologia Fertilidad,LAPDRA5175A,enviado,OK
2026-05-25T08:07:45,67,Dra Daniela Ceballos Odontologa Ibague,danielaceballosodonto@gmail.com,Periodoncia Medicina Oral,LAPDRAF0E1A,enviado,OK
2026-05-25T08:07:54,68,Dr Ricardo Becerra Cirujano Plastico Ibague,info@drricardobecerra.com.co,Cirugia Plastica,LAPDRR20C5A,enviado,OK
2026-05-25T08:08:03,69,Dr Eduardo Estupinan Odontopediatra,info@dreduardoestupinan.com,Odontopediatria,LAPDRE43388,enviado,OK
2026-05-25T08:08:12,71,Los Odontologos Ibague,info@losodontologos.com,Odontologia Estetica,LAPLOS1E1AB,enviado,OK
2026-05-25T08:08:21,72,Reirmas Odontologia Ibague,info@reirmas.com,Odontologia Integral,LAPREI97E1E,enviado,OK
2026-05-25T08:08:30,73,Clinica Sonrisa Bella Ibague,info@clinicasonrisabellaibague.com,Odontologia Estetica,LAPCLID2796,enviado,OK
2026-05-25T08:08:40,74,Dr Jaime Andres Benavides Diseno Sonrisa,contacto@jabn.com.co,Diseno de Sonrisa,LAPDRJ05BCD,enviado,OK
2026-05-25T08:08:49,75,Periodontics Dr Johanna Calderon Ibague,info@periodoncistajohannacalderon.com,Periodoncia e Implantes,LAPPERDF64F,enviado,OK
2026-05-25T08:08:58,76,Dra Ana Carolina Castillo HEB Estetic,info@hebestetic.com,Medicina Estetica,LAPDRA62FE3,enviado,OK
2026-05-25T08:09:07,79,Cirugia Plastica Dr Luis Oliveros,info@droliveroscirugiaplastica.com,Cirugia Plastica Estetica,LAPCIRA56BD,enviado,OK
2026-05-25T08:09:16,80,Cirugia Estetica Dr Armando Pena,armandopenacirujanoplastico@gmail.com,Cirugia Plastica,LAPCIR130C2,enviado,OK
2026-05-25T08:09:25,81,Unico Spa Ibague Belleza Limonar,unicospaibague@gmail.com,Estetica Belleza,LAPUNI5FB60,enviado,OK
2026-05-25T08:09:34,82,Aqua Stetic Spa Ibague,info@aquastetic.com,Estetica Facial Corporal,LAPAQU8DD22,enviado,OK
2026-05-25T08:09:43,83,Clinica Corpus Ibague Limonar,info@clinicacorpus.com.co,Medicina Estetica,LAPCLI887BC,enviado,OK
2026-05-25T08:09:52,84,Dents Odontologia Estetica Implantologia Ibague,dentsibague@gmail.com,Odontologia Estetica Implantologia,LAPDEN220A1,enviado,OK
2026-05-25T08:10:01,85,Adriana Huertas Nutricionista Ibague,info@adrianahuertas.com,Nutricion Dietetica,LAPADR76FC8,enviado,OK
2026-05-25T08:10:10,88,Total Hair Colombia Ibague,info@totalhaircolombia.com,Implante Capilar,LAPTOT63FA0,enviado,OK
2026-05-25T08:10:19,89,Fisio Ibague Centro Fisioterapia,info@fisioibague.com,Fisioterapia,LAPFIS264E4,enviado,OK
2026-05-25T08:10:29,91,Laboratorio Clinico Naizir Ibague,naizirlaboratorio@gmail.com,Laboratorio Clinico,LAPLAB53F09,enviado,OK
2026-05-25T08:10:38,93,Centro Medico Ocupacional CMO Ibague,cmo.saludocupacional@hotmail.com,Salud Ocupacional,LAPCEN07719,enviado,OK
2026-05-25T08:10:47,95,IPS Femsalud Ibague,info@ipsfemsalud.com,Ginecologia Obstetricia Perinatologia,LAPIPS93576,enviado,OK
2026-05-25T08:10:56,96,UMIT Citas Medicas Maternidad,citasmedicas@umit.com.co,Ginecologia y Obstetricia,LAPUMI2C06A,enviado,OK
2026-05-25T08:11:05,102,IPS Vacunar Ibague,vacunarcolombiaibague2023@gmail.com,Vacunacion Medicina Preventiva,LAPIPSA06F1,enviado,OK
2026-05-25T08:11:14,105,Instituto Oftalmologico del Tolima,citas@iotolima.com,Oftalmologia Optometria,LAPINS6368F,enviado,OK
2026-05-25T08:11:23,106,Clinica de Ojos del Tolima Citas Particulares,citasparticulares@clinicadeojosdeltolima.com,Oftalmologia Privada,LAPCLI1F2AF,enviado,OK
2026-05-25T08:11:32,107,Dra Catherine Meneses Psiquiatra Ibague,catherinemeneses.psi@gmail.com,Psiquiatria,LAPDRA52297,enviado,OK
2026-05-25T08:11:44,110,Neurocad SAS Ibague Sueno,neurocadsas30@gmail.com,Neurologia Sueno CPAP,LAPNEU75E92,enviado,OK
2026-05-25T08:11:53,115,Nazar Oftalmologos Ibague,info@nazaroftalmologos.com,Oftalmologia,LAPNAZ34E5A,enviado,OK
2026-05-25T08:12:02,116,Orsovision Opticas Ibague,direccioncomercial@orsovisionopticas.com,Optometria Optica,LAPORSA1D74,enviado,OK
2026-05-25T08:12:10,117,GAES Ibagué Multicentro Audifonos,gaes.colombia@gaes.es,Audiologia Audifonos,LAPGAE250C4,enviado,OK
2026-05-25T08:12:20,122,SORE Salud Ocupacional Ibague,soreibague@gmail.com,Salud Ocupacional Terapeutas,LAPSOR03249,enviado,OK
2026-05-25T08:12:29,123,Dr Thomas Torres Cuenca Fisiatra Ibague,torrescuenca.fisiatra@gmail.com,Fisiatria Medicina Fisica Rehabilitacion,LAPDRTC8D4C,enviado,OK
2026-05-25T08:12:38,124,Salud Integral y Complementaria Ibague,saludintegralycomplementaria@gmail.com,Medicina Alternativa Acupuntura,LAPSAL20A9E,enviado,OK
2026-05-25T08:12:47,125,Salud Plena Centro Medicinas Alternativas,info@saludplenaalternativa.com,Homeopatia Acupuntura Ozonoterapia,LAPSAL1E37A,enviado,OK
2026-05-25T08:20:03,126,Dr Ricardo Martinez Medicina Alternativa,rmartinezalternativa@gmail.com,Medicina Alternativa,LAPDRRBCBA5,error,Server not connected
2026-05-25T08:20:11,127,Dr Ivan Melo Medicina Alternativa Ibague,info@doctorivanmelo.co,Medicina Alternativa Biologica,LAPDRID0FBB,error,please run connect() first
2026-05-25T08:20:19,128,Hospital Federico Lleras Acosta Ibague,sistemas@hflleras.gov.co,Hospital Universitario Multiespecialidad,LAPHOS08A69,error,please run connect() first
2026-05-25T08:20:27,129,Clinica Avidanti Ibague,comunicaciones@avidanti.com,Hospitalaria Multiespecialidad,LAPCLI9AC9F,error,please run connect() first
2026-05-25T08:20:35,130,Clinica Asotrauma Ibague,info@asotrauma.com.co,Trauma Ortopedia Cirugia Plastica,LAPCLI0350C,error,please run connect() first
2026-05-25T08:20:43,131,Cuidarte Consultorios Espinal Tolima,info@cuidarteconsultoriosespinal.com,Multiespecialidad Odontologia Laboratorio,LAPCUIE997E,error,please run connect() first
2026-05-25T08:20:51,132,Psicologia Clinica Espinal Tolima,uwa9@hotmail.com,Psicologia Clinica Salud Mental,LAPPSI35079,error,please run connect() first
2026-05-25T08:20:59,133,Hospital Nuestra Senora Fatima Flandes,info@esehospitalfatima-flandes-tolima.gov.co,Hospitalaria,LAPHOS96E9D,error,please run connect() first
2026-05-25T08:21:07,134,Optica Vision Natural Ibague,contacto@opticavisionatural.com,Optometria,LAPOPT0C0DC,error,please run connect() first
2026-05-25T08:21:15,137,Ceditrans Salud Ocupacional Ibague,info@ceditrans.com.co,Salud Ocupacional Transito,LAPCED66252,error,please run connect() first
2026-05-25T08:21:23,141,Clinica Odontologica Ortoestetica Ibague,info@ortoesteticaibague.com,Odontologia Ortodoncia,LAPCLIC5427,error,please run connect() first
2026-05-25T08:21:31,142,Clinica Ortodoncia Javier Ovalle Ibague,info@clinicadeortodonciajavierovalle.com,Ortodoncia,LAPCLI28AFB,error,please run connect() first
2026-05-25T08:21:39,143,Dra Yurany Yepes Odontologia Estetica,info@drayuranyyepes.com,Odontologia Estetica Armonizacion,LAPDRA85DB5,error,please run connect() first
2026-05-25T08:21:47,144,Smilemarin Clinica Odontologica Ibague,info@smilemarin.co,Odontologia Estetica,LAPSMI113F1,error,please run connect() first
2026-05-25T08:21:55,145,Dr Oscar Hernandez Pediatra Ibague,oscarhernandezpediatra@gmail.com,Pediatria,LAPDROAE129,error,please run connect() first
2026-05-25T08:22:03,148,Awa Spa Dra Alexandra Valderrama,juliansandoval@gmail.com,Medicina Estetica Facial,LAPAWAA7BB9,error,please run connect() first
2026-05-25T08:22:11,152,Consultorio Medico San Angel Ibague,sanangelibague@gmail.com,Medicina Alternativa General,LAPCON11E01,error,please run connect() first
2026-05-25T08:22:19,153,Solment Centro Medico y Psicologico,info@solmentibague.com,Medicina General Psicologia,LAPSOL72941,error,please run connect() first
2026-05-25T08:22:27,154,Clinica Revivir Ibague Dolor,info@clinicarevivir.com.co,Algologia Acupuntura Rehabilitacion,LAPCLI1DBB1,error,please run connect() first
2026-05-25T08:22:35,155,Centro Veterinario La 13 Ibague,centroveterinariola13@gmail.com,Veterinaria Peluqueria,LAPCEN55770,error,please run connect() first
2026-05-25T08:22:43,156,Clinica Veterinaria del Tolima Ibague,clinicaveterinariadeltolima@gmail.com,Veterinaria Emergencias,LAPCLIFE5C8,error,please run connect() first
2026-05-25T08:22:51,157,Hospital Veterinario UCC Ibague,hospitalvet@ucc.edu.co,Veterinaria,LAPHOS5F279,error,please run connect() first
2026-05-25T08:22:59,164,VetCenter Clinica Veterinaria Ibague,veterinariocesar@hotmail.com,Veterinaria,LAPVET43B08,error,please run connect() first
2026-05-25T08:23:07,170,Hospital San Roque Alvarado Tolima,hsanroquealvarado@yahoo.es,Hospitalaria General,LAPHOSC8BE6,error,please run connect() first
2026-05-25T08:23:15,171,Hospital San Carlos Saldana Tolima,gerencia@hospitalsancarlossaldana.gov.co,Hospitalaria Multiespecialidad,LAPHOSD88DA,error,please run connect() first
2026-05-25T08:23:23,172,Hospital Especializado Granja Integral Lerida,info@hegranjalerida.org,Hospital Especializado,LAPHOSB0E58,error,please run connect() first
2026-05-25T08:23:31,173,Hospital San Antonio Guamo Tolima,info@hospitalsanantonioguamo.gov.co,Hospitalaria General,LAPHOS0E84F,error,please run connect() first
2026-05-25T08:23:39,174,Servintegrales A y A Guamo,servintegralesaya@gmail.com,Multiespecialidad,LAPSERBB118,error,please run connect() first
2026-05-25T08:23:48,175,Asclepios IPS Sede Guamo,asclepiosipsguamo@gmail.com,Multiespecialidad,LAPASCA76C5,error,please run connect() first
2026-05-25T08:23:56,176,Dentisonrisa Espinal Tolima,info@dentisonrisaespinal.com,Odontologia Pediatria,LAPDEN79C22,error,please run connect() first
2026-05-25T08:24:04,177,Santa Sofia IPS Espinal,info@santasofiaipsespinal.com,Pediatria Multiespecialidad,LAPSANFCEFB,error,please run connect() first
2026-05-25T08:24:12,178,Asclepios IPS Purificacion Tolima,asclepiosipspurificacion@gmail.com,Multiespecialidad,LAPASCAD48C,error,please run connect() first
2026-05-25T08:24:20,179,DHI Colombia Sede Ibague,info@dhicolombia.com.co,Trasplante Capilar,LAPDHI56350,error,please run connect() first
2026-05-25T08:24:28,180,Hospital La Candelaria Purificacion Tolima,info@hospitallacandelaria-purificacion.gov.co,Hospitalaria Nivel 2,LAPHOS7F0D9,error,please run connect() first
2026-05-25T08:24:36,181,Salud Tolima IPS Espinal,info@saludtolimaips.com,Multiespecialidad Ultrasonido,LAPSAL51CE6,error,please run connect() first
2026-05-25T08:24:44,182,Hospital Santa Lucia Cajamarca Tolima,info@hospitalsantalucia-cajamarca.gov.co,Hospitalaria,LAPHOS4355F,error,please run connect() first
2026-05-25T08:24:52,183,Clinica Dental's Pro Espinal,info@dentalspro.com,Odontologia,LAPCLI45F38,error,please run connect() first
2026-05-25T08:25:00,184,Clinica Odontologia Arquidents Espinal,info@arquidents.co,Odontologia,LAPCLI454F2,error,please run connect() first
2026-05-25T08:25:08,185,Corpo Bello Spa Ibague,info@corpobellospa.com.co,Medicina Estetica Corporal,LAPCOR941BE,error,please run connect() first
2026-05-25T08:25:16,186,Davita Centro de Dialisis Espinal,info-co@davita.com,Nefrologia Dialisis Psicologia,LAPDAV94F67,error,please run connect() first
2026-05-25T08:25:24,187,Centro Quiropraxia Ibague Dr Solano,info@quiropraxiaibague.com,Quiropraxia Acupuntura,LAPCEN7EB6F,error,please run connect() first
2026-05-25T08:25:32,188,Galenus Salud Integral IPS Espinal,info@galenussaludintegral.com,Multiespecialidad,LAPGAL31CF7,error,please run connect() first
2026-05-25T08:25:40,189,Centro de Salud Coello Tolima,centrodesaludcoello@gmail.com,Centro Salud Primer Nivel,LAPCEN1080E,error,please run connect() first
2026-05-25T08:25:48,190,Hospital San Sebastian Piedras Tolima,gerencia@hospitalsansebastian-piedras.gov.co,Hospitalaria,LAPHOS2C123,error,please run connect() first
2026-05-25T08:25:56,191,Hospital Coyaima Tolima,gerencia@hospitalcoyaima.gov.co,Hospitalaria,LAPHOS45578,error,please run connect() first
2026-05-25T08:26:04,192,Laboratorio Clinico Indira Machado Ibague,info@indiramachado.com,Laboratorio Clinico,LAPLAB67882,error,please run connect() first
2026-05-25T08:26:12,193,Laboratorio Clinico Combeima Ibague,info@labcombeima.com,Laboratorio Clinico,LAPLAB48E8B,error,please run connect() first
2026-05-25T08:26:20,194,Analicemos Laboratorio Clinico Ibague,recepcion@analicemoslaboratorio.com,Laboratorio Clinico,LAPANAAAAAC,error,please run connect() first
2026-05-25T08:26:28,196,Clinica Las Victorias Sede Purificacion,info@clinicalasvictorias.com.co,Hospitalaria,LAPCLIB7302,error,please run connect() first
2026-05-25T08:26:36,197,Clinica Dental Especialidades Espinal,info@clinicadentalespecialidades.com,Odontologia Multiespecialidad,LAPCLI11573,error,please run connect() first
2026-05-25T08:26:44,198,Hospital San Vicente Rovira Tolima,gerencia@hospitalsanvicente-rovira.gov.co,Hospitalaria,LAPHOS6A27D,error,please run connect() first
2026-05-25T08:26:52,199,Dermatologia Clinica Estetica Quirurgica Espinal,info@dermatologiaesteticaespinal.com,Dermatologia Estetica,LAPDER6A852,error,please run connect() first
2026-05-25T08:27:00,200,Clinica Las Victorias Espinal,info@clinicalasvictoriasespinal.com,Cirugia Plastica Multiespecialidad,LAPCLI09100,error,please run connect() first
